date,description,amount,currency
2026-04-04,PAGERDUTY,1240.00,USD
2026-04-04,OPSGENIE,440.00,USD
2026-04-05,SALESFORCE,8120.00,USD
2026-04-05,HUBSPOT,3600.00,USD
2026-04-05,PIPEDRIVE,250.00,USD
2026-04-06,ZENDESK,2820.00,USD
2026-04-06,INTERCOM,2240.00,USD
2026-04-06,FRONT,820.00,USD
2026-04-07,SLACK,4080.00,USD
2026-04-07,ZOOM,2280.00,USD
2026-04-07,GOOGLE WORKSPACE,4680.00,USD
2026-04-08,VERCEL,3120.00,USD
2026-04-08,CLOUDFLARE,5240.00,USD
2026-04-08,NETLIFY,99.00,USD
2026-04-09,GITHUB,2880.00,USD
2026-04-09,GITHUB COPILOT,1920.00,USD
2026-04-09,CURSOR,4200.00,USD
2026-04-10,JIRA,2480.00,USD
2026-04-10,CONFLUENCE,1840.00,USD
2026-04-10,NOTION.SO,2280.00,USD
2026-04-10,LINEAR,1820.00,USD
2026-04-11,FIGMA,2740.00,USD
2026-04-11,ADOBE CREATIVE CLOUD,1880.00,USD
2026-04-12,SENTRY,3280.00,USD
2026-04-12,LOGROCKET,1520.00,USD
2026-04-12,FULLSTORY,1880.00,USD
2026-04-13,MIXPANEL,1540.00,USD
2026-04-13,AMPLITUDE,4520.00,USD
2026-04-14,LOOKER,2510.00,USD
2026-04-14,TABLEAU,2240.00,USD
2026-04-15,SEGMENT,3540.00,USD
2026-04-15,RUDDERSTACK,820.00,USD
2026-04-16,AUTH0,3820.00,USD
2026-04-16,OKTA,5240.00,USD
2026-04-17,1PASSWORD,1560.00,USD
2026-04-17,VANTA,1820.00,USD
2026-04-17,DRATA,1240.00,USD
2026-04-18,WIZ,4520.00,USD
2026-04-18,SNYK,1820.00,USD
2026-04-19,RIPPLING,2320.00,USD
2026-04-19,WORKDAY,4280.00,USD
2026-04-20,CARTA,1240.00,USD
2026-04-20,SAGE INTACCT,1820.00,USD
2026-04-20,QUICKBOOKS,210.00,USD
2026-04-21,ANTHROPIC API,9248.20,USD
2026-04-21,OPENAI API,16842.55,USD
2026-04-21,COHERE,820.00,USD
2026-04-22,PINECONE,2240.00,USD
2026-04-22,MONGODB ATLAS,3620.00,USD
2026-04-22,PLANETSCALE,1240.00,USD
2026-04-22,REDIS CLOUD,820.00,USD
2026-04-22,ELASTIC CLOUD,4520.00,USD
2026-04-23,TWILIO,5128.42,USD
2026-04-23,SENDGRID,820.00,USD
2026-04-23,POSTMARK,210.00,USD
2026-04-23,RESEND,420.00,USD
2026-04-24,GOOGLE ADS,22184.55,USD
2026-04-24,META ADS,13248.22,USD
2026-04-24,LINKEDIN ADS,5240.18,USD
2026-04-25,ITERABLE,2540.00,USD
2026-04-25,CUSTOMER.IO,1240.00,USD
2026-04-25,WEBFLOW,420.00,USD
2026-04-26,LEVER,1240.00,USD
2026-04-26,GREENHOUSE,1820.00,USD
2026-04-26,LINKEDIN RECRUITER,1240.00,USD
2026-04-26,GEM,1240.00,USD
2026-04-27,CHATGPT TEAM,2520.00,USD
2026-04-27,LOOM,840.00,USD
2026-04-27,CALENDLY,520.00,USD
2026-04-28,STRIPE,21442.18,USD
2026-05-01,AWS,37428.55,USD
2026-05-01,AWS RDS,4520.42,USD
2026-05-01,AWS CLOUDFRONT,1480.18,USD
2026-05-02,SNOWFLAKE,8820.00,USD
2026-05-02,DATABRICKS,4920.00,USD
2026-05-02,GOOGLE BIGQUERY,1280.55,USD
2026-05-03,DATADOG,13220.00,USD
2026-05-03,NEW RELIC OBSERVABILITY,4520.00,USD
2026-05-03,SPLUNK,5510.00,USD
2026-05-04,PAGERDUTY,1240.00,USD
2026-05-04,OPSGENIE,440.00,USD
2026-05-05,SALESFORCE,8120.00,USD
2026-05-05,HUBSPOT,3600.00,USD
2026-05-05,PIPEDRIVE,250.00,USD
2026-05-06,ZENDESK,2820.00,USD
2026-05-06,INTERCOM,2240.00,USD
2026-05-06,FRONT,820.00,USD
2026-05-07,SLACK,4120.00,USD
2026-05-07,ZOOM,2280.00,USD
2026-05-07,GOOGLE WORKSPACE,4740.00,USD
2026-05-08,VERCEL,3120.00,USD
2026-05-08,CLOUDFLARE,5240.00,USD
2026-05-08,NETLIFY,99.00,USD
2026-05-09,GITHUB,2920.00,USD
2026-05-09,GITHUB COPILOT,1980.00,USD
2026-05-09,CURSOR,4320.00,USD
2026-05-10,JIRA,2480.00,USD
2026-05-10,CONFLUENCE,1840.00,USD
2026-05-10,NOTION.SO,2320.00,USD
2026-05-10,LINEAR,1860.00,USD
2026-05-11,FIGMA,2820.00,USD
2026-05-11,ADOBE CREATIVE CLOUD,1880.00,USD
2026-05-12,SENTRY,3280.00,USD
2026-05-12,LOGROCKET,1520.00,USD
2026-05-12,FULLSTORY,1880.00,USD
2026-05-13,MIXPANEL,1540.00,USD
2026-05-13,AMPLITUDE,4520.00,USD
2026-05-14,LOOKER,2510.00,USD
2026-05-14,TABLEAU,2240.00,USD
2026-05-15,SEGMENT,3540.00,USD
2026-05-15,RUDDERSTACK,820.00,USD
2026-05-16,AUTH0,3820.00,USD
2026-05-16,OKTA,5240.00,USD
2026-05-17,1PASSWORD,1580.00,USD
2026-05-17,VANTA,1820.00,USD
2026-05-17,DRATA,1240.00,USD
2026-05-18,WIZ,4520.00,USD
2026-05-18,SNYK,1820.00,USD
2026-05-19,RIPPLING,2360.00,USD
2026-05-19,WORKDAY,4280.00,USD
2026-05-20,CARTA,1240.00,USD
2026-05-20,SAGE INTACCT,1820.00,USD
2026-05-20,QUICKBOOKS,210.00,USD
2026-05-21,ANTHROPIC API,11420.55,USD
2026-05-21,OPENAI API,18820.40,USD
2026-05-21,COHERE,820.00,USD
2026-05-22,PINECONE,2280.00,USD
2026-05-22,MONGODB ATLAS,3720.00,USD
2026-05-22,PLANETSCALE,1240.00,USD
2026-05-22,REDIS CLOUD,820.00,USD
2026-05-22,ELASTIC CLOUD,4520.00,USD
2026-05-23,TWILIO,5840.18,USD
2026-05-23,SENDGRID,820.00,USD
2026-05-23,POSTMARK,210.00,USD
2026-05-23,RESEND,420.00,USD
2026-05-24,GOOGLE ADS,24820.42,USD
2026-05-24,META ADS,14520.18,USD
2026-05-24,LINKEDIN ADS,5440.55,USD
2026-05-25,ITERABLE,2540.00,USD
2026-05-25,CUSTOMER.IO,1240.00,USD
2026-05-25,WEBFLOW,420.00,USD
2026-05-26,LEVER,1240.00,USD
2026-05-26,GREENHOUSE,1820.00,USD
2026-05-26,LINKEDIN RECRUITER,1240.00,USD
2026-05-26,GEM,1240.00,USD
2026-05-27,CHATGPT TEAM,2520.00,USD
2026-05-27,LOOM,840.00,USD
2026-05-27,CALENDLY,520.00,USD
2026-05-28,STRIPE,24820.42,USD
